주성분,복합제구분,복합제성분,약효분류,금기내용,비고,DUR성분영문명,DUR성분코드,병용금기DUR성분코드,병용금기DUR성분명,병용금기DUR성분영문명,병용금기주성분
[A110225]빅테그라비르/[M118368]테노포비르알라페나미드푸마르산염/[M250026]엠트리시타빈/[M268156]빅테그라비르나트륨/[M279141]테노포비르알라페나미드숙신산염/[M279170]테노포비르알라페나미드헤미말산염,복합,[D000665]Emtricitabine(엠트리시타빈)/[D001420]Tenofoviralafenamide(테노포비르알라페나미드),-,라미부딘이엠트리시타빈의세포내인산화를저해할수도있음|동일한역전사효소유전자(M184V)변이를통해바이러스내성기전이일어나므로병용시치료효과가제한적일수있음,-,Bictegravir,D001419,D000615,라미부딘,Lamivudine,[I012292]아바카비르황산염/[I012655]돌루테그라비르나트륨(미분화)/[M086332]라미부딘/[M262968]아바카비르황산염
[M090395]텔미사르탄/[M095744]로수바스타틴칼슘/[M097492]에제티미브/[M258559]로수바스타틴칼슘염/[M264500]텔미사르탄파우더(23.9%)/[M270546]로수바스타틴칼슘(미분화),복합,[D000350]Ezetimibe(에제티미브)/[D000485]Telmisartan(텔미사르탄),-,근육통|근육약화|근염|때때로횡문근변성을포함한근육독성촉진가능,-,Rosuvastatin,D000219,D000334,사이클로스포린,Cyclosporine,[A005971]시클로스포린/[M040068]마이크로에멀젼용시클로스포린/[M085282]사이클로스포린/[M085565]시클로스포린
[M095744]로수바스타틴칼슘/[M246568]네비보롤염산염/[M254774]네비보롤염산염/[M258559]로수바스타틴칼슘염/[M270546]로수바스타틴칼슘(미분화),복합,[D000785]Nebivolol(네비보롤),-,횡문근융해증을포함한근육관련이상반응보고,-,Rosuvastatin,D000219,D000619,푸시딘산,FusidicAcid,[M020165]푸시딘산나트륨/[M020229]푸시딘산
[M095744]로수바스타틴칼슘/[M254878]제미글립틴타르타르산염1.5수화물/[M258559]로수바스타틴칼슘염/[M263103]제미글립틴타르타르산염1.5수하물/[M270546]로수바스타틴칼슘(미분화),복합,[D000670]Gemigliptin(제미글립틴),-,횡문근융해증을포함한근육관련이상반응보고,-,Rosuvastatin,D000219,D000619,푸시딘산,FusidicAcid,[M020165]푸시딘산나트륨/[M020229]푸시딘산
[M095744]로수바스타틴칼슘/[M097492]에제티미브/[M258559]로수바스타틴칼슘염/[M270546]로수바스타틴칼슘(미분화),복합,[D000350]Ezetimibe(에제티미브),-,횡문근융해증을포함한근육병증위험증가가능,-,Rosuvastatin,D000219,D001072,레디파스비르,Ledipasvir,[I012701]소포스부비르/[I012702]레디파스비르/[M260784]소포스부비어/[M262752]소포스부비르/[M262910]레디파스비르
[M097492]에제티미브/[M102119]피타바스타틴칼슘/[M259724]피타바스타틸칼슘,복합,[D000350]Ezetimibe(에제티미브),-,횡문근융해증을포함한근육관련이상반응보고,-,Pitavastatin,D000518,D000619,푸시딘산,FusidicAcid,[M020165]푸시딘산나트륨/[M020229]푸시딘산
[A110986]루라시돈,단일,-,-,-Lurasidone의노출을증가시킬수있음,-,Lurasidone,D001763,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸
[A110986]루라시돈,단일,-,-,-Lurasidone의노출을증가시킬수있음,-,Lurasidone,D001763,D000712,리토나비르,Ritonavir,[M259362]리토나비르
[M249412]드로네다론염산염,단일,-,-,Dronedarone노출량증가,-,Dronedarone,D000201,D000373,클래리트로마이신,Clarithromycin,[M085725]클래리스로마이신/[M087123]클래리스로마이신코팅입자/[M102127]클래리스로마이신제피과립/[M222887]클래리트로마이신/[M223198]클래리트로마이신/[M245961]클래리트로마이신제피과립/[M256483]클래리트로마이신제피과립(42%)
[M256772]알리트레티노인,단일,-,-,-비타민A과다증,-,Alitretinoin,D000820,D000488,트레티노인,Tretinoin,[M051617]트레티노인
[M084105]프라바스타틴나트륨,단일,-,-,횡문근융해증|근무력증|동통발생가,-,Pravastatin,D000305,D000619,푸시딘산,FusidicAcid,[M020165]푸시딘산나트륨/[M020229]푸시딘산
[M214128]플루바스타틴나트륨,단일,-,-,횡문근융해증|근무력증|동통발생가능,-,Fluvastatin,D000306,D000619,푸시딘산,FusidicAcid,[M020165]푸시딘산나트륨/[M020229]푸시딘산
[I004369]아토르바스타틴칼슘수화물/[M083437]베실산암로디핀/[M090403]발사르탄/[M093499]아토르바스타틴칼슘/[M100608]말레인산암로디핀/[M100610]캄실산암로디핀/[M101934]암로디핀/[M102166]메실산암로디핀일수화물/[M102534]암로디핀오로트산염/[M213543]무수아토르바스타틴칼슘/[M215219]아토르바스타틴칼슘삼수화물/[M218956]아토르바스타틴삼수화물/[M222875]암로디핀베실산염/[M244955]아토르바스타틴스트론튬/[M246033]암로디핀캄실산염/[M247057]아토르바스타틴칼슘염무수물/[M250821]암로디핀아디핀산염/[M250983]암로디핀말레산염/[M251079]암로디핀니코틴산염/[M251687]아토르바스타틴칼슘/[M254832]암로디핀메실산염일수화물/[M256664]아토르바스타틴칼슘수화물/[M257408]암로디핀아디프산염/[M263837]아토르바스타틴,복합,[D000152]Amlodipine(암로디핀)/[D000011]Valsartan(발사르탄),-,근육병증|횡문근융해위험증가가능,-,Atorvastatin,D000455,D000334,사이클로스포린,Cyclosporine,[A005971]시클로스포린/[M040068]마이크로에멀젼용시클로스포린/[M085282]사이클로스포린/[M085565]시클로스포린
